,MASTER_STYLE,STYLE_NAME,UNIQUE_SKU
0,ENERGY BRA,ENERGY BRA,2084.0
1,DEFINE JACKET,DEFINE JACKET,1469.0
2,ALIGN PANT II,ALIGN PANT II - ES EC - DNU AFTER SP20,333.0
3,FLY AWAY TAMER HEADBAND,FLY AWAY TAMER HEADBAND II,123.0
4,UPLIFTING SCRUNCHIE,UPLIFTING SCRUNCHIE,138.0
5,ALIGN FULL LENGTH PANT,ALIGN FULL LENGTH PANT - ES - DNU AFTER SP20,324.0
6,FAST AND FREE HR 78 TIGHT,FAST AND FREE HR 78 TIGHT II ES NON REFLECTIVE,513.0
7,WUNDER TRAIN TIGHT 25 INS,WUNDER TRAIN HR TIGHT 25IN,594.0
8,ALIGN PANT II,ALIGN PANT II DO NOT USE AFTER SU18,274.0
9,FREE TO BE BRA WILD,FREE TO BE BRA WILD,1226.0
10,FREE TO BE SERENE BRA,FREE TO BE SERENE BRA,943.0
11,FLOW Y BRA *NULU,FLOW Y BRA *NULU,764.0
12,EVERYWHERE BELT BAG,EVERYWHERE BELT BAG,82.0
13,ALIGN PANT II,ALIGN PANT II - ES FE MOP - USE SU20 ONWARDS,109.0
14,ALIGN TANK,ALIGN TANK NULU 1.5 DNU AFTER SP22,284.0
15,SCUBA HOODIE,SCUBA HOODIE IV ES,963.0
16,LOVE CREW III,LOVE CREW III,912.0
17,ENERGY BRA LONG LINE,ENERGY BRA LONG LINE,633.0
18,5 YEAR BASIC T,5 YEAR BASIC T,691.0
19,ABC PANT CLASSIC 34 - WARP REC,ABC PANT CLASSIC 34 - REG,192.0
20,RUN: SWIFTLY TECH LS CREW,SWIFTLY TECH LS CREW DOUBLE DYE,463.0
21,ALIGN FULL LENGTH PANT,ALIGN FULL LENGTH PANT ES EC BLK - USE SU20 ONWARDS,105.0
22,ABC JOGGER,ABC JOGGER,99.0
23,EBB TO STREET TANK,EBB TO STREET TANK II,325.0
24,ALIGN PANT II,ALIGN PANT II - ES - DO NOT USE AFTER SP21,243.0
25,UPLIFTING SCRUNCHIE BOW,UPLIFTING SCRUNCHIE BOW,81.0
26,ALIGN FULL LENGTH PANT,ALIGN FULL LENGTH PANT,213.0
27,Women's Bottoms,WOMEN'S BOTTOMS,1.0
28,DANCE STUDIO JOGGER,DANCE STUDIO JOGGER ES,333.0
29,METAL VENT TECH SS 2.0,METAL VENT TECH SS HAZY HEATHER DOUBLE DYE SPANDEX,128.0
30,HOTTY HOT SHORT LR,HOTTY HOT SHORT II - REG ES - EV MOP,325.0
31,HOTTY HOT SHORT LR,HOTTY HOT SHORT II - LONG ES MOP,221.0
32,ALIGN FULL LENGTH PANT,ALIGN FULL LENGTH PANT - ES - DO NOT USE AFTER SP21,179.0
33,RUN: SWIFTLY TECH RACERBACK,SWIFTLY TECH RACERBACK DOUBLE DYE,409.0
34,RUN: SWIFTLY TECH SS CREW,SWIFTLY TECH SS CREW DOUBLE DYE,437.0
35,IN MOVEMENT 78 TIGHT,IN MOVEMENT 78 TIGHT (DO NOT USE AFTER WI18),191.0
36,SPEED UP SHORT LONG II,SPEED UP SHORT LONG II ES,477.0
37,IN MOVEMENT 78 TIGHT,IN MOVEMENT 78 TIGHT ES,284.0
38,BACK IN ACTION LONG SLEEVE,BACK IN ACTION LONG SLEEVE,517.0
39,CARDIO CROSS TRAINER HEADBAND,CARDIO CROSS TRAINER HEADBAND,115.0
40,ALIGN PANT II,ALIGN PANT II - ES FE MOP - DNU AFTER SP20,8.0
41,READY TO RULU JOGGER,READY TO RULU JOGGER,250.0
42,SWIFTLY TECH LS 2.0,SWIFTLY TECH LS 2.0 DOUBLE DYE,652.0
43,ALIGN CROP 21 INCHES,ALIGN CROP 21 INCHES ES EC - DNU AFTER SP20,302.0
44,PACE BREAKER SHORT 7 LL ,PACE BREAKER 7 LINERLESS - ROLLER PRINT,113.0
45,ALIGN JOGGER,ALIGN JOGGER ES FE - DNU AFTER WI20,81.0
46,COMMISSION PANT SLIM 34-WARPSTREME,COMMISSION PANT SLIM 34-WARPSTREME,180.0
47,SPEED UP SHORT REG,SPEED UP SHORT REG ES,431.0
48,EVOLUTION POLO Q318,EVOLUTION POLO LIFT,163.0
49,ALL THE RIGHT PLACES CROP II,ALL THE RIGHT PLACES CROP II EC,311.0
50,TRACKER SHORT,TRACKER SHORT V ES - SK,364.0
51,SWIFTLY TECH SS 2.0,SWIFTLY TECH SS 2.0 DOUBLE DYE,559.0
52,PACE BREAKER SHORT 9 -LINED,PACE BREAKER SHORT 9 LINED - ROLLER PRINT,163.0
53,TRACK THAT SHORT,TRACK THAT SHORT,549.0
54,SPEED UP SHORT LONG II,SPEED UP SHORT LONG II SK ES ,234.0
55,SPEED UP SHORT REG,SPEED UP SHORT REG ES EV MOP,308.0
56,INVIGORATE HR TIGHT 25IN,INVIGORATE HR TIGHT 25IN - SOLID,239.0
57,ALL YOURS TEE,ALL YOURS TEE,503.0
58,ALIGN SHORT 6 INCHES,ALIGN SHORT 6 INCHES ES EC - USE SU20 ONWARDS,146.0
59,GIVEX GIFT CARD,GIVEX GIFT CARD,2.0
60,T.H.E. SHORT 9 LINERLESS,T.H.E. SHORT 9 LINERLESS - ROLLER PRINT,128.0
61,SCUBA HOODIE,SCUBA HOODIE IV,420.0
62,FAST AND FREE HR 78 TIGHT,FAST AND FREE 78 TIGHT II (DO NOT USE AFTER SU18),126.0
63,COOL RACERBACK II,COOL RACERBACK II DO NOT USE FA18 FORWARD,389.0
64,METAL VENT TECH SHORT SLEEVE,METAL VENT TECH SS HAZY HEATHER DOUBLE DYE GBM,161.0
