Pokedex No.,Name,Type,Other Type,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Generation,Legendary
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,1,0
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,1,0
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,1,0
3,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,625,1,0
4,Charmander,Fire,,39,52,43,60,50,65,309,1,0
5,Charmeleon,Fire,,58,64,58,80,65,80,405,1,0
6,Charizard,Fire,Flying,78,84,78,109,85,100,534,1,0
6,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,634,1,0
6,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,634,1,0
7,Squirtle,Water,,44,48,65,50,64,43,314,1,0
8,Wartortle,Water,,59,63,80,65,80,58,405,1,0
9,Blastoise,Water,,79,83,100,85,105,78,530,1,0
9,Mega Blastoise,Water,,79,103,120,135,115,78,630,1,0
10,Caterpie,Bug,,45,30,35,20,20,45,195,1,0
11,Metapod,Bug,,50,20,55,25,25,30,205,1,0
12,Butterfree,Bug,Flying,60,45,50,90,80,70,395,1,0
13,Weedle,Bug,Poison,40,35,30,20,20,50,195,1,0
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205,1,0
15,Beedrill,Bug,Poison,65,90,40,45,80,75,395,1,0
15,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,495,1,0
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251,1,0
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349,1,0
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,479,1,0
18,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,579,1,0
19,Rattata,Normal,,30,56,35,25,35,72,253,1,0
19,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,253,1,0
20,Raticate,Normal,,55,81,60,50,70,97,413,1,0
20,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,413,1,0
21,Spearow,Normal,Flying,40,60,30,31,31,70,262,1,0
22,Fearow,Normal,Flying,65,90,65,61,61,100,442,1,0
23,Ekans,Poison,,35,60,44,40,54,55,288,1,0
24,Arbok,Poison,,60,95,69,65,79,80,448,1,0
25,Pikachu,Electric,,35,55,40,50,50,90,320,1,0
25,Partner Pikachu,Electric,,45,80,50,75,60,120,430,1,0
26,Raichu,Electric,,60,90,55,90,80,110,485,1,0
26,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,485,1,0
27,Sandshrew,Ground,,50,75,85,20,30,40,300,1,0
27,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,300,1,0
28,Sandslash,Ground,,75,100,110,45,55,65,450,1,0
28,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,450,1,0
29,Nidoran♀,Poison,,55,47,52,40,40,41,275,1,0
30,Nidorina,Poison,,70,62,67,55,55,56,365,1,0
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,1,0
32,Nidoran♂,Poison,,46,57,40,40,40,50,273,1,0
